food,a,b
apple,1.0529175134000346,-6.323321210545146
banana,0.9716803592609359,7.274070555665773
brinjal,0.6125147216441292,19.706749593777594
capsicum,1.0471429565711219,-4.044107273427457
carrot,1.0134450511712334,-0.1151276802598602
cucumber,1.0234221736426807,-0.6588753776955798
guava,1.028273350537305,-6.812421454319718
onion,1.0228096141137886,-1.6606803333219489
orange,1.0155628502864869,-0.668091921184029
pomegranate,0.9325138901727269,11.475696688959715
potato,0.9259682865335035,3.50344755451718
tomato,1.0347216158444277,-2.6804053766731357
